id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Luca,Antei,it,Benevento,Dc,Dd,,https://www.transfermarkt.com/luca-antei/profil/spieler/146743
,Kamil,Glik,pl,Benevento,Dc,,,https://www.transfermarkt.com/kamil-glik/profil/spieler/46552
,Massimo,Volta,it,Benevento,Dc,,,https://www.transfermarkt.com/massimo-volta/profil/spieler/54921
,Daam,Foulon,be,Benevento,Ds,E,,https://www.transfermarkt.com/daam-foulon/profil/spieler/338637
,Alessandro,Tuia,it,Benevento,Dc,,,https://www.transfermarkt.com/alessandro-tuia/profil/spieler/73943
,Luca,Caldirola,it,Benevento,Dc,Ds,,https://www.transfermarkt.com/luca-caldirola/profil/spieler/88680
,Christian,Maggio,it,Benevento,Dd,E,,https://www.transfermarkt.com/christian-maggio/profil/spieler/21151
,Lorenzo,Del Pinto,it,Benevento,M,C,,https://www.transfermarkt.com/lorenzo-del-pinto/profil/spieler/244061
,Pasquale,Schiattarella,it,Benevento,M,C,,https://www.transfermarkt.com/pasquale-schiattarella/profil/spieler/56762
,Oliver,Kragl,de,Benevento,E,W,,https://www.transfermarkt.com/oliver-kragl/profil/spieler/56513
,Nicolas,Viola,it,Benevento,C,,,https://www.transfermarkt.com/nicolas-viola/profil/spieler/85393
,Perparim,Hetemaj,fi,Benevento,M,C,,https://www.transfermarkt.com/perparim-hetemaj/profil/spieler/37295
,Andres,Tello,co,Benevento,C,W,,https://www.transfermarkt.com/andres-tello/profil/spieler/331389
,Roberto,Insigne,it,Benevento,W,A,,https://www.transfermarkt.com/roberto-insigne/profil/spieler/200174
,Riccardo,Improta,it,Benevento,W,A,,https://www.transfermarkt.com/riccardo-improta/profil/spieler/163489
,Marco,Sau,it,Benevento,A,,,https://www.transfermarkt.com/marco-sau/profil/spieler/55801
,Gabriele,Moncini,it,Benevento,Pc,,,https://www.transfermarkt.com/gabriele-moncini/profil/spieler/238977
,Andri Fannar,Baldursson,is,Bologna,C,T,,https://www.transfermarkt.com/andri-fannar-baldursson/profil/spieler/464446
,Godfred,Donsah,gh,Bologna,M,C,,https://www.transfermarkt.com/godfred-donsah/profil/spieler/291266
,Musa,Juwara,gm,Bologna,A,,,https://www.transfermarkt.com/musa-juwara/profil/spieler/562030
,Emanuel,Vignato,it,Bologna,T,A,,https://www.transfermarkt.com/emanuel-vignato/profil/spieler/394346
,Kiril,Despodov,bg,Cagliari,A,,,https://www.transfermarkt.com/kiril-despodov/profil/spieler/221540
,Luca,Gagliano,it,Cagliari,Pc,,,https://www.transfermarkt.com/luca-gagliano/profil/spieler/396682
,Riccardo,Ladinetti,it,Cagliari,M,C,,https://www.transfermarkt.com/riccardo-ladinetti/profil/spieler/459452
,Razvan,Marin,ro,Cagliari,C,,,https://www.transfermarkt.com/razvan-marin/profil/spieler/295183
,Filip,Bradaric,hr,Cagliari,M,C,,https://www.transfermarkt.com/filip-bradaric/profil/spieler/238486
,Guglielmo,Vicario,it,Cagliari,Por,,,https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047
,Simone,Aresti,it,Cagliari,Por,,,https://www.transfermarkt.com/simone-aresti/profil/spieler/41912
,Giuseppe,Ciocci,it,Cagliari,Por,,,https://www.transfermarkt.com/giuseppe-ciocci/profil/spieler/535740
,Andrea,Carboni,it,Cagliari,Dc,Ds,,https://www.transfermarkt.com/andrea-carboni/profil/spieler/481834
,Alex,Cordaz,it,Crotone,Por,,,https://www.transfermarkt.com/alex-cordaz/profil/spieler/16633
,Marco,Festa,it,Crotone,Por,,,https://www.transfermarkt.com/marco-festa/profil/spieler/257660
,Luca,Marrone,it,Crotone,Dc,,,https://www.transfermarkt.com/luca-marrone/profil/spieler/124769
,Antonio,Mazzotta,it,Crotone,Ds,E,,https://www.transfermarkt.com/antonio-mazzotta/profil/spieler/61751
,Giuseppe,Cuomo,it,Crotone,Dc,,,https://www.transfermarkt.com/giuseppe-cuomo/profil/spieler/365565
,Nicolas,Spolli,ar,Crotone,Dc,,,https://www.transfermarkt.com/nicolas-spolli/profil/spieler/51186
,Guillaume,Gigliotti,fr,Crotone,Dc,Ds,,https://www.transfermarkt.com/guillaume-gigliotti/profil/spieler/60541
,Lisandro,Magallan,ar,Crotone,Dc,,,https://www.transfermarkt.com/lisandro-magallan/profil/spieler/66736
,Vladimir,Golemic,rs,Crotone,Dc,,,https://www.transfermarkt.com/vladimir-golemic/profil/spieler/169841
,Niccolo,Zanellato,it,Crotone,C,,,https://www.transfermarkt.com/niccolo-zanellato/profil/spieler/343945
,Giovanni,Crociata,it,Crotone,C,T,,https://www.transfermarkt.com/giovanni-crociata/profil/spieler/291400
,Tomislav,Gomelt,hr,Crotone,C,,,https://www.transfermarkt.com/tomislav-gomelt/profil/spieler/210983
,Salvatore,Molina,it,Crotone,E,W,,https://www.transfermarkt.com/salvatore-molina/profil/spieler/163582
