id,first_name,name,nationality,club_name,position1,position2,position3,tm_url,national_team
691,Christian,Benteke,be,Crystal Palace,Pc,,,https://www.transfermarkt.com/christian-benteke/profil/spieler/50201,TRUE
670,Michy,Batshuayi,be,Crystal Palace,Pc,,,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184,TRUE
743,Youri,Tielemans,be,Leicester,C,T,,https://www.transfermarkt.com/youri-tielemans/profil/spieler/249565,TRUE
301,Timothy,Castagne,be,Leicester,Dd,Ds,E,https://www.transfermarkt.com/timothy-castagne/profil/spieler/262226,TRUE
744,Dennis,Praet,be,Leicester,C,T,,https://www.transfermarkt.com/dennis-praet/profil/spieler/129588,TRUE
779,Kevin,De Bruyne,be,Manchester City,T,,,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,TRUE
920,Toby,Alderweireld,be,Tottenham,Dc,,,https://www.transfermarkt.com/toby-alderweireld/profil/spieler/42710,TRUE
1007,Leander,Dendoncker,be,Wolverhampton,M,,,https://www.transfermarkt.com/leander-dendoncker/profil/spieler/168157,TRUE
617,Leandro,Trossard,be,Brighton,W,A,,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,TRUE
246,Dries,Mertens,be,Napoli,Pc,,,https://www.transfermarkt.com/dries-mertens/profil/spieler/56416,TRUE
225,Romelu,Lukaku,be,Inter,Pc,,,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341,TRUE
1656,Axel,Witsel,be,Borussia Dortmund,M,C,,https://www.transfermarkt.com/axel-witsel/profil/spieler/35047,TRUE
1650,Thorgan,Hazard,be,Borussia Dortmund,T,A,,https://www.transfermarkt.com/thorgan-hazard/profil/spieler/102226,TRUE
1655,Thomas,Meunier,be,Borussia Dortmund,E,,,https://www.transfermarkt.com/thomas-meunier/profil/spieler/100986,TRUE
1760,Dedryck,Boyata,be,Hertha,Dc,,,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262,TRUE
921,Jan,Vertonghen,be,Benfica,Dc,,,https://www.transfermarkt.com/jan-vertonghen/profil/spieler/43250,TRUE
,Thibaut,Courtois,be,Real Madrid,Por,,,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,TRUE
,Simon,Mignolet,be,Brugge,Por,,,https://www.transfermarkt.com/simon-mignolet/profil/spieler/50219,TRUE
,Matz,Sels,be,Strasbourg,Por,,,https://www.transfermarkt.com/matz-sels/profil/spieler/127202,TRUE
,Thomas,Vermaelen,be,Vissel Kobe,Dc,Ds,,https://www.transfermarkt.com/thomas-vermaelen/profil/spieler/15904,TRUE
,Jason,Denayer,be,Olympique Lyon,Dc,,,https://www.transfermarkt.com/jason-denayer/profil/spieler/277114,TRUE
,Hans,Vanaken,be,Brugge,C,T,,https://www.transfermarkt.com/hans-vanaken/profil/spieler/137576,TRUE
