id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
249,Leonardo,Pavoletti,it,Cagliari,Pc,,,https://www.transfermarkt.com/leonardo-pavoletti/profil/spieler/64793
32,Luca,Pellegrini,it,Cagliari,Ds,E,,https://www.transfermarkt.com/luca-pellegrini/profil/spieler/346567
254,Fabio,Pisacane,it,Cagliari,Dc,Dd,Ds,https://www.transfermarkt.com/fabio-pisacane/profil/spieler/101922
199,Giovanni,Simeone,ar,Cagliari,Pc,,,https://www.transfermarkt.com/giovanni-simeone/profil/spieler/282388
,Alessio,Cragno,it,Cagliari,Por,,,https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907
,Robin,Olsen,se,Cagliari,Por,,,https://www.transfermarkt.com/robin-olsen/profil/spieler/75458
,Bittencourt,Rafael,br,Cagliari,Por,,,https://www.transfermarkt.com/rafael/profil/spieler/84467
,Sebastian,Walukiewicz,pl,Cagliari,Dc,,,https://www.transfermarkt.com/sebastian-walukiewicz/profil/spieler/345458
,Charalampos,Lykogiannis,gr,Cagliari,Ds,E,,https://www.transfermarkt.com/charalampos-lykogiannis/profil/spieler/136514
,Paolo,Farago,it,Cagliari,E,C,,https://www.transfermarkt.com/paolo-farago/profil/spieler/167796
,Federico,Mattiello,it,Cagliari,Dd,Ds,E,https://www.transfermarkt.com/federico-mattiello/profil/spieler/200194
,Fabrizio,Cacciatore,it,Cagliari,Dd,Ds,E,https://www.transfermarkt.com/fabrizio-cacciatore/profil/spieler/85605
,Marko,Rog,hr,Cagliari,C,,,https://www.transfermarkt.com/marko-rog/profil/spieler/317482
,Artur,Ionita,md,Cagliari,C,T,,https://www.transfermarkt.com/artur-ionita/profil/spieler/98888
,Gaston,Pereiro,uy,Cagliari,T,A,,https://www.transfermarkt.com/gaston-pereiro/profil/spieler/264116
,Valter,Birsa,si,Cagliari,T,,,https://www.transfermarkt.com/valter-birsa/profil/spieler/26105
,Daniele,Ragatzu,it,Cagliari,A,,,https://www.transfermarkt.com/daniele-ragatzu/profil/spieler/66360
,Alberto,Paloschi,it,Cagliari,Pc,,,https://www.transfermarkt.com/alberto-paloschi/profil/spieler/68306
164,Milan,Badelj,hr,Fiorentina,M,C,,https://www.transfermarkt.com/milan-badelj/profil/spieler/40633
