id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Lucas,Alario,ar,Bayer Leverkusen,Pc,,,https://www.transfermarkt.com/lucas-alario/profil/spieler/193782
1277,Patrick,Schick,cz,Bayer Leverkusen,Pc,,,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
,Moussa,Diaby,fr,Bayer Leverkusen,A,,,https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516
,Samed,Onur,tr,Bayer Leverkusen,A,,,https://www.transfermarkt.com/samed-onur/profil/spieler/538864
,Emrehan,Gedikli,de,Bayer Leverkusen,Pc,,,https://www.transfermarkt.com/emrehan-gedikli/profil/spieler/580276
,Karim,Bellarabi,de,Bayer Leverkusen,W,,,https://www.transfermarkt.com/karim-bellarabi/profil/spieler/61087
,Manuel,Neuer,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259
,Lukas,Schneller,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/lukas-schneller/profil/spieler/453874
,Alexander,Nubel,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778
,Ron-Thorben,Hoffmann,de,Bayern Munchen,Por,,,https://www.transfermarkt.com/ron-thorben-hoffmann/profil/spieler/317444
,Niklas,Sule,de,Bayern Munchen,Dc,,,https://www.transfermarkt.com/niklas-sule/profil/spieler/166601
,Benjamin,Pavard,fr,Bayern Munchen,Dc,Dd,,https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366
,Jerome,Boateng,de,Bayern Munchen,Dc,,,https://www.transfermarkt.com/jerome-boateng/profil/spieler/26485
,Alphonso,Davies,ca,Bayern Munchen,Ds,E,,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
,Bouna,Sarr,fr,Bayern Munchen,Dd,E,,https://www.transfermarkt.com/bouna-sarr/profil/spieler/190685
,Lucas,Hernandez,fr,Bayern Munchen,Dc,Ds,,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963
,Tanguy,Nianzou,fr,Bayern Munchen,Dc,,,https://www.transfermarkt.com/tanguy-nianzou/profil/spieler/538996
,David,Alaba,at,Bayern Munchen,Dc,Ds,,https://www.transfermarkt.com/david-alaba/profil/spieler/59016
,Kilian,Senkbeil,de,Bayern Munchen,Dc,,,https://www.transfermarkt.com/kilian-senkbeil/profil/spieler/335455
,Chris,Richards,us,Bayern Munchen,Dc,Dd,,https://www.transfermarkt.com/chris-richards/profil/spieler/578539
,Bright,Arrey-Mbi,de,Bayern Munchen,Dc,Ds,,https://www.transfermarkt.com/bright-arrey-mbi/profil/spieler/580193
,Alexander,Lungwitz,de,Bayern Munchen,Ds,E,,https://www.transfermarkt.com/alexander-lungwitz/profil/spieler/422211
,Joshua,Kimmich,de,Bayern Munchen,Dd,E,M,https://www.transfermarkt.com/joshua-kimmich/profil/spieler/161056
,Javi,Martinez,es,Bayern Munchen,Dc,,,https://www.transfermarkt.com/javi-martinez/profil/spieler/44017
,Leon,Goretzka,de,Bayern Munchen,C,,,https://www.transfermarkt.com/leon-goretzka/profil/spieler/153084
,Marc,Roca,es,Bayern Munchen,M,C,,https://www.transfermarkt.com/marc-roca/profil/spieler/336869
,Corentin,Tolisso,fr,Bayern Munchen,C,,,https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393
,Tiago,Dantas,pt,Bayern Munchen,C,T,,https://www.transfermarkt.com/tiago-dantas/profil/spieler/429987
,Angelo,Stiller,de,Bayern Munchen,M,C,,https://www.transfermarkt.com/angelo-stiller/profil/spieler/443710
,Daniels,Ontuzans,lv,Bayern Munchen,T,W,,https://www.transfermarkt.com/daniels-ontuzans/profil/spieler/336324
,Jamal,Musiala,gb-eng,Bayern Munchen,T,A,,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195
,Maximilian,Zaiser,de,Bayern Munchen,C,T,,https://www.transfermarkt.com/maximilian-zaiser/profil/spieler/380423
,Serge,Gnabry,de,Bayern Munchen,W,A,,https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471
,Robert,Lewandowski,pl,Bayern Munchen,Pc,,,https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253
788,Leroy,Sane,de,Bayern Munchen,W,A,,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565
20,,Douglas Costa,br,Bayern Munchen,W,,,https://www.transfermarkt.com/douglas-costa/profil/spieler/75615
,Eric,Maxim Choupo-Moting,cm,Bayern Munchen,Pc,,,https://www.transfermarkt.com/eric-maxim-choupo-moting/profil/spieler/45660
,Joshua,Zirkzee,nl,Bayern Munchen,Pc,,,https://www.transfermarkt.com/joshua-zirkzee/profil/spieler/435648
,Fiete,Arp,de,Bayern Munchen,Pc,,,https://www.transfermarkt.com/fiete-arp/profil/spieler/343337
,Thomas,Muller,de,Bayern Munchen,A,,,https://www.transfermarkt.com/thomas-muller/profil/spieler/58358
,Kingsley,Coman,fr,Bayern Munchen,W,A,,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
,Malik,Tillman,de,Bayern Munchen,Pc,,,https://www.transfermarkt.com/malik-tillman/profil/spieler/467437
,Leon,Dajaku,de,Bayern Munchen,W,A,,https://www.transfermarkt.com/leon-dajaku/profil/spieler/483974
